nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;16607;Banque Populaire du Sud;00069;CERBERE;8, rue Mitjaville;42.440755,3.163893
Banque Populaire;13807;Banque Populaire Grand Ouest;00633;ST NAZAIRE ENTREPRISES;1bis, Chemin Vert;47.28734,-2.25222
Banque Populaire;13807;Banque Populaire Grand Ouest;00636;NANTES EST ENTREPRISES;1, ave de Josselin;47.258552,-1.515279
Banque Populaire;13807;Banque Populaire Grand Ouest;10671;PLERIN ARMOR BANQUE PRIVE CM;1, rue des Mimoras;48.543437,-2.770298
Banque Populaire;10107;BRED-Banque Populaire;00246;PARIS BATIGNOLLES;14, rue des Batignolles;48.884135,2.322405
Banque Populaire;17807;Banque Populaire Occitane;00227;CAUTERETS;24, ave du Général Leclerc;42.890753,-0.113979
Banque Populaire;16607;Banque Populaire du Sud;00083;SAILLAGOUSE;29, ave des Comtes de Cerdagne;42.457157,2.038067
Banque Populaire;16607;Banque Populaire du Sud;00086;LATOUR BAS ELNE;3, ch du Moulin;42.607607,2.998688
Banque Populaire;17807;Banque Populaire Occitane;00318;EAUZE;2, rue Saint July;43.860705,0.100937
Banque Populaire;16607;Banque Populaire du Sud;00092;LAROQUE D'OLMES;Ctre Cial Les Castillanes;42.969183,1.866749
Banque Populaire;13807;Banque Populaire Grand Ouest;00808;LES SABLES D'OLONNE LE PORT;8, quai Franqueville;46.497181,-1.787075
Banque Populaire;13807;Banque Populaire Grand Ouest;00811;TRELAZE;11, rue Jean Jaurès;47.4406,-0.48965
Banque Populaire;10107;BRED-Banque Populaire;00268;MAISONS ALFORT HOTEL DE VILLE;1, rue Pasteur;48.8005,2.430682
Banque Populaire;17807;Banque Populaire Occitane;00385;SEYSSES;10, pl de la Libération;43.498505,1.310936
Banque Populaire;17807;Banque Populaire Occitane;00398;TOULOUSE RAMONVILLE ST AGNE;226, route de Narbonne;43.552905,1.468896
Banque Populaire;16607;Banque Populaire du Sud;00213;PEROLS;Les Gallines;43.565107,3.940813
Banque Populaire;10107;BRED-Banque Populaire;00271;COURBEVOIE GARE;44, rue de Bezons;48.89682,2.248307
Banque Populaire;10107;BRED-Banque Populaire;00274;JOINVILLE LE PONT GARE;33, rue de Paris;48.817573,2.466996
Banque Populaire;17807;Banque Populaire Occitane;00410;MONTECH;7, boulevard de la République;43.95645,1.230645
