nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;place_id;place_name;rating;user_ratings_total;geopoints
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00426;BOURGOIN GAMBETTA;1, ave Gambetta;ChIJv__YWYIui0cRsS525JVlBtU;Banque Populaire Auvergne Rhône Alpes;2.2;5.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00432;LYON POINT DU JOUR;1, rue Joliot Curie;ChIJxcA4pJrr9EcRZniD8LIirGI;Banque Populaire Auvergne Rhône Alpes;3.6;8.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00358;VILLEFRANCHE SUR MER;12, ave du Maréchal Foch;ChIJfR956tfazRIRWgM_2NLs9us;Banque Populaire Côte d'Azur (B.P.C.A);3.0;4.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00006;ORNANS;20, rue Jacques Gervais;ChIJBToiLQp3jUcRGcRPYpTwdnc;Banque Populaire Bourgogne Franche-Comté;5.0;3.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00437;LYON SUD OULLINS;165, Grande Rue;ChIJHXuN5mvp9EcRzsxSfbpBkDQ;Banque Populaire Auvergne Rhône Alpes;2.4;21.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00439;LES AQUEDUCS CRAPONNE;88, ave Edouard Millaud;ChIJfTFw48Dt9EcR4kBcGL0pWaw;Banque Populaire Auvergne Rhône Alpes;4.2;5.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00311;NICE CALIFORNIE;244, ave de la Californie;ChIJZ6D-_FbQzRIRv4gn6FBmyEU;Banque Populaire Méditerranée;1.9;16.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00313;NICE GAMBETTA;92, bd Gambetta;ChIJVYVCEwXQzRIRL0nH-v0CUpo;Banque Populaire Méditerranée;3.8;13.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00441;LYON JEAN JAURES GERLAND;215, ave Jean Jaurès;ChIJt4RFUiXq9EcRvC-XftbegbY;Banque Populaire Auvergne Rhône Alpes;2.1;22.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00317;JUAN LES PINS;5, avenue de l'Esterel;ChIJmyyNZV_VzRIRXDAV5Ju3VoA;Banque Populaire Méditerranée;3.0;8.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00318;CROS DE CAGNES;73, promenade de la Plage;ChIJEY0ezu7TzRIRUn6c3qWGjK0;Banque Populaire Méditerranée;3.3;13.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00364;NICE FRANCE;100, rue de France;ChIJJ_pk2GzQzRIRwZueu05jQWs;Banque Populaire Méditerranée;2.9;24.0;
Banque Populaire;10807;Banque Populaire Bourgogne Franche-Comté;00016;HAUTS DE BIENNE MOREZ;157, rue de la République;ChIJFYrIztP5jEcR2z50Hip6K4o;Banque Populaire Bourgogne Franche-Comté;3.6;5.0;
