code_etab;nom_etab;code_agence;nom_agence;rue;nom_banque;place_id;rating;user_ratings_total;lat_lng
13135;MIDI PYRENEES;24;TOULOUSE GUILHEMERY;30, AVENUE DE CASTRES;Caisse d'Epargne;ChIJ4TQVt--8rhIRGpi8g89prJY;2.0;16.0;43.6006379,1.4705294
13335;AQUITAINE POITOU-CHARENTES;64314;BIARRITZ-SAINT-MARTIN;56, AVENUE KENNEDY;Caisse d'Epargne;ChIJFWtvmysVUQ0RH6NFXtUDeG4;2.8;16.0;43.4702835,-1.5553837
15135;GRAND EST EUROPE;57447;METZ SAINT MAXIMIN;37, PLACE ST MAXIMIN;Caisse d'Epargne;ChIJe9qi9jrclEcRtch9njmL_9o;3.4;16.0;49.1056767,6.1960877
16275;HAUTS DE FRANCE;59959;RONCQ;6 RUE DES ARTS;Caisse d'Epargne;ChIJBQzqFYUuw0cRQLno56liHhc;2.3;16.0;50.7531186,3.1223564
14265;LOIRE DROME ARDECHE;30458;DONZERE;5 PLACE DU CHAMP DE MARS;Caisse d'Epargne;ChIJJ3PfOUMNtRIRSsolx84U-R8;3.3;16.0;44.4431183,4.7110752
18315;COTE D'AZUR;17;NICE LE STADE;4 BD COMTE DE FALICON;Caisse d'Epargne;ChIJlx0Lb_LPzRIRVARbfn35gPY;2.9;16.0;43.7268821,7.2559041
14505;LOIRE CENTRE;132;BOURGES CARREFOUR;CHAUSSEE DE CHAPPE;Caisse d'Epargne;ChIJy0AvP0eW-kcRjL_aFO4Olbk;3.1;16.0;47.0926564,2.4205967
18707;Banque Populaire Val de France;00011;VERSAILLES POURVOIERIE;19, rue de la Pourvoierie;Banque Populaire;ChIJl5A8cbF95kcR_Mg16laIGJs;3.6;16.0;48.8070760,2.1329211
14607;Banque Populaire Méditerranée;00084;MARSEILLE ST LOUIS;138, avenue de Saint Louis;Banque Populaire;ChIJoeoHLzHAyRIRLzDeoZ7J93o;2.9;16.0;43.3476108,5.3592551
16275;HAUTS DE FRANCE;62720;ANGRES;32 RUE ROGER SALENGRO;Caisse d'Epargne;ChIJVZmztD063UcR4PmqhqHuZtQ;2.8;16.0;50.4118227,2.7598713
13825;RHONE ALPES;30406;CREMIEU;4, COURS BARON RAVERAT;Caisse d'Epargne;ChIJaeM61GE0i0cR01HbAsZy5xs;2.9;16.0;45.7242456,5.2521764
14445;BRETAGNE-PAYS DE LOIRE;208;LONGCHAMP;103 BLD ROBERT SCHUMAN;Caisse d'Epargne;ChIJ8RB91y3sBUgR2Mut9x7fTD8;1.7;16.0;47.2381765,-1.5702946
